date,Trauma
2017-04-23,15.86
2017-04-24,21.5
2017-04-25,22.55
2017-04-26,21.5
2017-04-27,21.14
2017-04-28,16.91
2017-04-29,15.86
2017-04-30,17.27
2017-05-01,20.09
2017-05-02,21.5
2017-05-03,21.85
2017-05-04,20.09
2017-05-05,18.68
2017-05-06,13.74
2017-05-07,15.15
2017-05-08,21.14
2017-05-09,21.14
2017-05-10,18.68
2017-05-11,20.09
2017-05-12,17.97
2017-05-13,14.8
2017-05-14,12.33
2017-05-15,17.97
2017-05-16,18.32
2017-05-17,18.68
2017-05-18,16.91
2017-05-19,16.91
2017-05-20,13.39
2017-05-21,15.15
2017-05-22,16.56
2017-05-23,19.03
2017-05-24,17.97
2017-05-25,17.97
2017-05-26,15.86
2017-05-27,13.04
2017-05-28,12.33
2017-05-29,14.45
2017-05-30,16.91
2017-05-31,17.62
2017-06-01,17.97
2017-06-02,17.62
2017-06-03,13.39
2017-06-04,13.74
2017-06-05,16.91
2017-06-06,17.27
2017-06-07,21.14
2017-06-08,17.27
2017-06-09,17.27
2017-06-10,13.39
2017-06-11,14.45
2017-06-12,17.27
2017-06-13,17.62
2017-06-14,19.38
2017-06-15,18.68
2017-06-16,16.56
2017-06-17,12.33
2017-06-18,14.45
2017-06-19,17.62
2017-06-20,17.27
2017-06-21,17.62
2017-06-22,17.27
2017-06-23,16.21
2017-06-24,13.74
2017-06-25,14.45
2017-06-26,17.62
2017-06-27,17.27
2017-06-28,17.97
2017-06-29,18.32
2017-06-30,16.56
2017-07-01,13.04
2017-07-02,14.45
2017-07-03,15.15
2017-07-04,14.1
2017-07-05,16.91
2017-07-06,17.27
2017-07-07,17.62
2017-07-08,15.86
2017-07-09,14.45
2017-07-10,17.62
2017-07-11,18.68
2017-07-12,17.62
2017-07-13,18.68
2017-07-14,17.27
2017-07-15,14.45
2017-07-16,15.15
2017-07-17,17.97
2017-07-18,18.68
2017-07-19,18.68
2017-07-20,18.68
2017-07-21,16.91
2017-07-22,13.04
2017-07-23,14.8
2017-07-24,16.91
2017-07-25,18.68
2017-07-26,19.03
2017-07-27,18.32
2017-07-28,15.15
2017-07-29,14.45
2017-07-30,15.15
2017-07-31,17.27
2017-08-01,17.97
2017-08-02,19.38
2017-08-03,17.97
2017-08-04,15.5
2017-08-05,14.1
2017-08-06,14.1
2017-08-07,16.56
2017-08-08,19.73
2017-08-09,20.09
2017-08-10,19.03
2017-08-11,16.21
2017-08-12,13.04
2017-08-13,13.74
2017-08-14,17.27
2017-08-15,17.62
2017-08-16,17.62
2017-08-17,16.91
2017-08-18,15.86
2017-08-19,13.04
2017-08-20,13.74
2017-08-21,14.45
2017-08-22,16.91
2017-08-23,16.91
2017-08-24,16.91
2017-08-25,15.86
2017-08-26,11.98
2017-08-27,13.39
2017-08-28,17.27
2017-08-29,17.27
2017-08-30,19.03
2017-08-31,18.32
2017-09-01,16.21
2017-09-02,13.04
2017-09-03,14.8
2017-09-04,16.56
2017-09-05,18.68
2017-09-06,18.32
2017-09-07,19.73
2017-09-08,16.56
2017-09-09,13.74
2017-09-10,13.74
2017-09-11,19.03
2017-09-12,16.91
2017-09-13,20.44
2017-09-14,18.32
2017-09-15,17.27
2017-09-16,14.8
2017-09-17,15.5
2017-09-18,19.73
2017-09-19,21.85
2017-09-20,20.44
2017-09-21,19.73
2017-09-22,17.62
2017-09-23,14.8
2017-09-24,14.1
2017-09-25,19.73
2017-09-26,20.44
2017-09-27,22.2
2017-09-28,22.55
2017-09-29,21.85
2017-09-30,16.21
